## YEARSTOUSE 2019 2020 2021
## MAXDIVERTW 3000
## DHWWhPERDAY 4000
## STOREMAXWh 7000
#margin-W year-divert-frac year-divert-daily-kWh MarToSep-divert-frac MarToSep-divert-daily-kWh NovToJan-divert-frac NovToJan-divert-daily-kWh
0 0.179 2.70 0.219 3.88 0.073 0.31 
50 0.158 2.63 0.205 3.86 0.045 0.25 
100 0.151 2.57 0.201 3.83 0.037 0.20 
150 0.146 2.52 0.199 3.79 0.031 0.16 
200 0.141 2.47 0.196 3.76 0.025 0.13 
250 0.137 2.41 0.194 3.72 0.020 0.10 
300 0.133 2.36 0.192 3.67 0.016 0.08 
350 0.130 2.31 0.190 3.63 0.013 0.06 
400 0.127 2.27 0.187 3.58 0.010 0.04 
500 0.120 2.17 0.182 3.48 0.006 0.03 
750 0.107 1.94 0.169 3.20 0.002 0.00 
1000 0.093 1.67 0.150 2.80 0.000 0.00 
1500 0.067 1.09 0.114 1.86 0.000 0.00 
2000 0.043 0.52 0.073 0.88 0.000 0.00 
3000 0.004 0.02 0.007 0.03 0.000 0.00 
4000 0.000 0.00 0.000 0.00 0.000 0.00 
